data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2026-03-29,202613,34.0,19,108,17,0.39866602,31.28508,0,1,353470820261320552,2026-04-09,Ourinhos,,0.94084466,108678,20.2839833333333,90.4212166666667,0,0,1,75.06695,58.5102166666667,24.1989,28.3971166666667,16,,,,,292
2026-03-22,202612,46.0,42,61,42,0.9613776,42.326874,0,1,353470820261220552,2026-04-09,Ourinhos,,1.5000203,108678,21.4926714285714,88.6850428571429,0,1,1,73.5412,53.7006857142857,25.6150714285714,30.0427714285714,25,,,,,292
2026-03-15,202611,39.0,37,45,37,0.8984118,35.885826,0,1,353470820261120552,2026-04-09,Ourinhos,,1.3626343,108678,20.9401571428571,91.3234714285714,0,0,1,75.6856,56.6735857142857,25.1941571428571,29.9340285714286,30,,,,,292
2026-03-08,202610,24.0,23,28,23,0.33710435,22.083586,0,1,353470820261020552,2026-04-09,Ourinhos,,0.8896783,108678,20.0404714285714,93.9670571428571,0,0,1,84.3165142857143,69.8158,22.9453714285714,26.3718285714286,10,,,,,292
2026-03-01,202609,31.0,31,34,31,0.8593919,28.524632,0,1,353470820260920552,2026-04-09,Ourinhos,,1.3393291,108678,19.4400142857143,82.9225857142857,0,0,1,62.0564857142857,41.8350571428571,24.6483428571429,30.2708142857143,2,,,,,292
2026-02-22,202608,29.0,29,31,29,0.9287973,26.684334,0,1,353470820260820552,2026-04-09,Ourinhos,,1.5289527,108678,21.1902,88.6123285714286,0,0,1,76.4284428571429,61.3979285714286,24.3558428571429,28.2317571428571,1,,,,,292
2026-02-15,202607,23.0,23,24,23,0.86581206,21.163437,0,1,353470820260720552,2026-04-09,Ourinhos,,1.4228079,108678,22.5102,91.2939714285714,0,0,1,73.7263428571429,52.7273,26.6542714285714,31.4221,0,,,,,292
2026-02-08,202606,18.0,18,19,18,0.6870718,16.562689,0,1,353470820260620552,2026-04-09,Ourinhos,,1.1821587,108678,21.4524714285714,92.4549428571429,0,0,1,81.4068571428571,64.8390428571429,24.2621714285714,28.1470142857143,1,,,,,292
2026-02-01,202605,16.0,16,16,16,0.5568839,14.722391,0,1,353470820260520552,2026-04-09,Ourinhos,,1.051845,108678,21.2490428571429,95.0003571428571,1,0,1,82.3131428571429,65.3132,24.3637571428571,28.3618714285714,0,,,,,292
2026-01-25,202604,13.0,13,13,13,0.50779825,11.961943,0,1,353470820260420552,2026-04-09,Ourinhos,,1.0075877,108678,20.7259142857143,92.7927,0,0,1,75.2478857142857,56.4802714285714,25.0952714285714,29.9926571428571,0,,,,,292
2026-01-18,202603,18.0,18,18,18,0.9758108,16.562689,0,1,353470820260320552,2026-04-09,Ourinhos,,2.1982622,108678,18.6341,87.0297571428572,0,1,1,72.3567428571429,57.0575,22.5031857142857,26.9917285714286,0,,,,,292
2026-01-11,202602,15.0,15,15,15,0.99564314,13.802241,0,1,353470820260220552,2026-04-09,Ourinhos,,3.6215162,108678,21.0673714285714,94.7428,1,1,1,81.9660571428571,66.4251142857143,24.4913428571429,28.0087714285714,2,,,,,292
2026-01-04,202601,7.0,7,7,7,0.92783254,6.441046,0,1,353470820260120552,2026-04-09,Ourinhos,,2.5651803,108678,20.7168571428571,86.2385857142857,0,0,0,70.2173,54.1673571428571,25.1294857142857,29.6519428571429,1,,,,,292
2025-12-28,202553,3.0,3,3,3,0.29171482,2.7604482,0,1,353470820255320552,2026-04-09,Ourinhos,,0.6811334,108678,22.7334285714286,95.2090428571429,1,0,0,77.8561428571429,56.0540142857143,26.5212,31.2550857142857,2,,,,,292
