Data_Inicio_Semanas,Semana_Epidemiologica,Casos_Estimados,Casos_Estimados_Minimo,Casos_Estimados_Maximo,casos,Probabilidade_RT_Alto,Probabilidade_Incidencia_100k,nivel,ID_Municipio,versao_modelo,mencoes_twitter,taxa_transmissao_rt,populacao,temperatura_minima,umidade_maxima,receptivo,transmissao,nivel_incidencia,umidade_media,umidmin,temperatura_media,temperatura_maxima,casprov,notificacoes_acumuladas_ano,temp_lag_3,ano
2026-01-25,4,18.0,10.0,51.0,10.0,0.7743701,16.562689,1,353470820260420491,2026-02-07,,1.303123,108678,20.7259142857143,92.7927,,,baixa incidencia,75.2478857142857,56.4802714285714,25.0952714285714,29.9926571428571,10.0,34935,,2026
2026-01-18,3,19.0,17.0,27.0,17.0,0.98052764,17.48284,1,353470820260320491,2026-02-07,,2.2394443,108678,18.6341,87.0297571428572,,1.0,baixa incidencia,72.3567428571429,57.0575,22.5031857142857,26.9917285714286,14.0,34935,,2026
2026-01-11,2,16.0,15.0,19.0,15.0,0.9972749,14.722391,1,353470820260220491,2026-02-07,,3.8132439,108678,21.0673714285714,94.7428,1.0,1.0,baixa incidencia,81.9660571428571,66.4251142857143,24.4913428571429,28.0087714285714,8.0,34935,,2026
2026-01-04,1,7.0,7.0,10.0,7.0,0.92783254,6.441046,1,353470820260120491,2026-02-07,,2.5651803,108678,20.7168571428571,86.2385857142857,,,incidencia nula,70.2173,54.1673571428571,25.1294857142857,29.6519428571429,2.0,34935,25.0952714285714,2026
2025-12-28,53,3.0,3.0,5.0,3.0,0.29171482,2.7604482,1,353470820255320491,2026-02-07,,0.6811334,108678,22.7334285714286,95.2090428571429,1.0,,incidencia nula,77.8561428571429,56.0540142857143,26.5212,31.2550857142857,2.0,34935,22.5031857142857,2025
2025-12-21,52,1.0,1.0,2.0,1.0,0.0031360104,0.92014945,1,353470820255220491,2026-02-07,,0.120237775,108678,22.5337428571429,84.1558285714286,,,incidencia nula,65.2021285714286,49.6144857142857,27.5242,32.2678714285714,,34935,24.4913428571429,2025
2025-12-14,51,3.0,3.0,4.0,3.0,0.00895853,2.7604482,1,353470820255120491,2026-02-07,,0.26288047,108678,19.9586142857143,91.1648571428571,,,incidencia nula,79.9531,67.0119,23.2961857142857,27.0999428571429,2.0,34935,25.1294857142857,2025
2025-12-07,50,8.0,8.0,9.0,8.0,0.29414594,7.3611956,1,353470820255020491,2026-02-07,,0.77993137,108678,21.0450714285714,88.9748428571429,,,incidencia nula,75.1825142857143,59.0043,24.4475428571429,28.3632857142857,1.0,34935,26.5212,2025
2025-11-30,49,15.0,15.0,16.0,15.0,0.9704032,13.802241,1,353470820254920491,2026-02-07,,2.2941463,108678,21.1602571428571,85.1974142857143,,1.0,baixa incidencia,62.9422142857143,38.3465,26.4482142857143,32.5844285714286,4.0,34935,27.5242,2025
2025-11-23,48,13.0,13.0,13.0,13.0,0.9855392,11.961943,1,353470820254820491,2026-02-07,,2.9937658,108678,17.7620571428571,86.1116714285714,,1.0,baixa incidencia,64.7293142857143,44.4236,23.3329142857143,28.8808142857143,4.0,34935,23.2961857142857,2025
