data_iniSE;SE;casos_est;casos_est_min;casos_est_max;casos;p_rt1;p_inc100k;Localidade_id;nivel;id;versao_modelo;Rt;pop;tempmin;umidmax;receptivo;transmissao;nivel_inc;umidmed;umidmin;tempmed;tempmax;casprov;notif_accum_year;Data_Inicio_Semanas;ano;Semana_Epidemiologica;temp_ar;chuva;umidade;chuva_lag_1;temp_lag_1;chuva_lag_2;temp_lag_2;chuva_lag_3;temp_lag_3;chuva_lag_4;temp_lag_4
2026-01-25;202604;18.0;10;51;10;0.7743701;16.562689;0;1;353470820260420491;2026-02-07;1.303123;108678;20.7259142857143;92.7927;0;0;1;75.2478857142857;56.4802714285714;25.0952714285714;29.9926571428571;10.0;34935;2026-01-25;2026;4;25.217964071856287;60.6;75.34730538922156;3.8;23.244055944055944;10.0;24.26044776119403;14.8;24.868862275449104;;
2026-01-18;202603;19.0;17;27;17;0.98052764;17.48284;0;1;353470820260320491;2026-02-07;2.2394443;108678;18.6341;87.0297571428572;0;1;1;72.3567428571429;57.0575;22.5031857142857;26.9917285714286;14.0;34935;2026-01-18;2026;3;23.244055944055944;3.8;69.37062937062937;10.0;24.26044776119403;14.8;24.868862275449104;;;;
2026-01-11;202602;16.0;15;19;15;0.9972749;14.722391;0;1;353470820260220491;2026-02-07;3.8132439;108678;21.0673714285714;94.7428;1;1;1;81.9660571428571;66.4251142857143;24.4913428571429;28.0087714285714;8.0;34935;2026-01-11;2026;2;24.26044776119403;10.0;81.73134328358209;14.8;24.868862275449104;;;;;;
2026-01-04;202601;7.0;7;10;7;0.92783254;6.441046;0;1;353470820260120491;2026-02-07;2.5651803;108678;20.7168571428571;86.2385857142857;0;0;0;70.2173;54.1673571428571;25.1294857142857;29.6519428571429;2.0;34935;2026-01-04;2026;1;24.868862275449104;14.8;72.9880239520958;;;;;;;;
2025-12-28;202553;3.0;3;5;3;0.29171482;2.7604482;0;1;353470820255320491;2026-02-07;0.6811334;108678;22.7334285714286;95.2090428571429;1;0;0;77.8561428571429;56.0540142857143;26.5212;31.2550857142857;2.0;34935;2025-12-28;2025;53;27.751041666666666;12.8;73.91666666666667;7.0;28.12168674698795;54.6;23.32202380952381;170.4;23.548809523809524;1.0;26.20416666666667
2025-12-21;202552;1.0;1;2;1;0.0031360104;0.92014945;0;1;353470820255220491;2026-02-07;0.120237775;108678;22.5337428571429;84.1558285714286;0;0;0;65.2021285714286;49.6144857142857;27.5242;32.2678714285714;0.0;34935;2025-12-21;2025;52;28.12168674698795;7.0;65.1144578313253;54.6;23.32202380952381;170.4;23.548809523809524;1.0;26.20416666666667;22.6;23.23333333333333
2025-12-14;202551;3.0;3;4;3;0.00895853;2.7604482;0;1;353470820255120491;2026-02-07;0.26288047;108678;19.9586142857143;91.1648571428571;0;0;0;79.9531;67.0119;23.2961857142857;27.0999428571429;2.0;34935;2025-12-14;2025;51;23.32202380952381;54.6;79.61904761904762;170.4;23.548809523809524;1.0;26.20416666666667;22.6;23.23333333333333;19.6;22.932738095238093
2025-12-07;202550;8.0;8;9;8;0.29414594;7.3611956;0;1;353470820255020491;2026-02-07;0.77993137;108678;21.0450714285714;88.9748428571429;0;0;0;75.1825142857143;59.0043;24.4475428571429;28.3632857142857;1.0;34935;2025-12-07;2025;50;23.548809523809524;170.4;80.98214285714286;1.0;26.20416666666667;22.6;23.23333333333333;19.6;22.932738095238093;50.8;22.16785714285714
2025-11-30;202549;15.0;15;16;15;0.9704032;13.802241;0;1;353470820254920491;2026-02-07;2.2941463;108678;21.1602571428571;85.1974142857143;0;1;1;62.9422142857143;38.3465;26.4482142857143;32.5844285714286;4.0;34935;2025-11-30;2025;49;26.20416666666667;1.0;66.2797619047619;22.6;23.23333333333333;19.6;22.932738095238093;50.8;22.16785714285714;105.0;22.476190476190474
2025-11-23;202548;13.0;13;13;13;0.9855392;11.961943;0;1;353470820254820491;2026-02-07;2.9937658;108678;17.7620571428571;86.1116714285714;0;1;1;64.7293142857143;44.4236;23.3329142857143;28.8808142857143;4.0;34935;2025-11-23;2025;48;23.23333333333333;22.6;66.69047619047619;19.6;22.932738095238093;50.8;22.16785714285714;105.0;22.476190476190474;33.4;22.58452380952381
