Semana_Epidemiologica,chuva,temp_ar,umidade,vento_vel,chuva_lag_1,temp_ar_lag_1,umidade_lag_1,vento_vel_lag_1,chuva_lag_2,temp_ar_lag_2,umidade_lag_2,vento_vel_lag_2,chuva_lag_3,temp_ar_lag_3,umidade_lag_3,vento_vel_lag_3,chuva_lag_4,temp_ar_lag_4,umidade_lag_4,vento_vel_lag_4,ano
5,44.0,24.65059523809524,85.19620253164557,1.9208333333333332,35.0,26.25297619047619,79.57575757575758,2.1988095238095235,47.2,24.736904761904764,75.94047619047619,3.2142857142857144,0.4,25.225,68.04761904761905,3.425,12.8,26.606770833333332,72.80729166666667,2.4375,2025
6,50.0,24.74642857142857,82.7125748502994,2.425,44.0,24.65059523809524,85.19620253164557,1.9208333333333332,35.0,26.25297619047619,79.57575757575758,2.1988095238095235,47.2,24.736904761904764,75.94047619047619,3.2142857142857144,0.4,25.225,68.04761904761905,3.425,2025
7,0.4,26.84107142857143,74.82738095238095,2.024404761904762,50.0,24.74642857142857,82.7125748502994,2.425,44.0,24.65059523809524,85.19620253164557,1.9208333333333332,35.0,26.25297619047619,79.57575757575758,2.1988095238095235,47.2,24.736904761904764,75.94047619047619,3.2142857142857144,2025
8,30.400000000000002,27.070238095238096,73.87741935483871,2.5839285714285714,0.4,26.84107142857143,74.82738095238095,2.024404761904762,50.0,24.74642857142857,82.7125748502994,2.425,44.0,24.65059523809524,85.19620253164557,1.9208333333333332,35.0,26.25297619047619,79.57575757575758,2.1988095238095235,2025
9,31.2,27.594047619047622,67.71653543307086,2.8047619047619046,30.400000000000002,27.070238095238096,73.87741935483871,2.5839285714285714,0.4,26.84107142857143,74.82738095238095,2.024404761904762,50.0,24.74642857142857,82.7125748502994,2.425,44.0,24.65059523809524,85.19620253164557,1.9208333333333332,2025
10,8.2,27.029166666666665,67.19047619047619,3.5166666666666666,31.2,27.594047619047622,67.71653543307086,2.8047619047619046,30.400000000000002,27.070238095238096,73.87741935483871,2.5839285714285714,0.4,26.84107142857143,74.82738095238095,2.024404761904762,50.0,24.74642857142857,82.7125748502994,2.425,2025
11,84.6,25.41488095238095,77.3452380952381,2.7595238095238095,8.2,27.029166666666665,67.19047619047619,3.5166666666666666,31.2,27.594047619047622,67.71653543307086,2.8047619047619046,30.400000000000002,27.070238095238096,73.87741935483871,2.5839285714285714,0.4,26.84107142857143,74.82738095238095,2.024404761904762,2025
12,119.60000000000001,23.700595238095236,76.04761904761905,3.105357142857143,84.6,25.41488095238095,77.3452380952381,2.7595238095238095,8.2,27.029166666666665,67.19047619047619,3.5166666666666666,31.2,27.594047619047622,67.71653543307086,2.8047619047619046,30.400000000000002,27.070238095238096,73.87741935483871,2.5839285714285714,2025
13,26.8,25.514285714285712,75.23809523809524,3.0023809523809524,119.60000000000001,23.700595238095236,76.04761904761905,3.105357142857143,84.6,25.41488095238095,77.3452380952381,2.7595238095238095,8.2,27.029166666666665,67.19047619047619,3.5166666666666666,31.2,27.594047619047622,67.71653543307086,2.8047619047619046,2025
14,28.2,24.167261904761904,77.01785714285714,3.2511904761904766,26.8,25.514285714285712,75.23809523809524,3.0023809523809524,119.60000000000001,23.700595238095236,76.04761904761905,3.105357142857143,84.6,25.41488095238095,77.3452380952381,2.7595238095238095,8.2,27.029166666666665,67.19047619047619,3.5166666666666666,2025
15,0.0,23.575,73.66666666666667,3.0511904761904765,28.2,24.167261904761904,77.01785714285714,3.2511904761904766,26.8,25.514285714285712,75.23809523809524,3.0023809523809524,119.60000000000001,23.700595238095236,76.04761904761905,3.105357142857143,84.6,25.41488095238095,77.3452380952381,2.7595238095238095,2025
16,0.4,22.72083333333333,80.04166666666667,2.626190476190476,0.0,23.575,73.66666666666667,3.0511904761904765,28.2,24.167261904761904,77.01785714285714,3.2511904761904766,26.8,25.514285714285712,75.23809523809524,3.0023809523809524,119.60000000000001,23.700595238095236,76.04761904761905,3.105357142857143,2025
17,24.2,21.189285714285717,81.36309523809524,2.8077380952380953,0.4,22.72083333333333,80.04166666666667,2.626190476190476,0.0,23.575,73.66666666666667,3.0511904761904765,28.2,24.167261904761904,77.01785714285714,3.2511904761904766,26.8,25.514285714285712,75.23809523809524,3.0023809523809524,2025
18,10.0,21.089285714285715,77.03571428571429,2.8226190476190474,24.2,21.189285714285717,81.36309523809524,2.8077380952380953,0.4,22.72083333333333,80.04166666666667,2.626190476190476,0.0,23.575,73.66666666666667,3.0511904761904765,28.2,24.167261904761904,77.01785714285714,3.2511904761904766,2025
19,20.200000000000003,22.505357142857143,75.16071428571429,3.0398809523809525,10.0,21.089285714285715,77.03571428571429,2.8226190476190474,24.2,21.189285714285717,81.36309523809524,2.8077380952380953,0.4,22.72083333333333,80.04166666666667,2.626190476190476,0.0,23.575,73.66666666666667,3.0511904761904765,2025
20,0.0,20.699404761904763,73.9047619047619,3.786309523809524,20.200000000000003,22.505357142857143,75.16071428571429,3.0398809523809525,10.0,21.089285714285715,77.03571428571429,2.8226190476190474,24.2,21.189285714285717,81.36309523809524,2.8077380952380953,0.4,22.72083333333333,80.04166666666667,2.626190476190476,2025
21,0.0,21.682738095238093,74.55357142857143,2.6095238095238096,0.0,20.699404761904763,73.9047619047619,3.786309523809524,20.200000000000003,22.505357142857143,75.16071428571429,3.0398809523809525,10.0,21.089285714285715,77.03571428571429,2.8226190476190474,24.2,21.189285714285717,81.36309523809524,2.8077380952380953,2025
22,7.6,17.01845238095238,74.76785714285714,2.2327380952380955,0.0,21.682738095238093,74.55357142857143,2.6095238095238096,0.0,20.699404761904763,73.9047619047619,3.786309523809524,20.200000000000003,22.505357142857143,75.16071428571429,3.0398809523809525,10.0,21.089285714285715,77.03571428571429,2.8226190476190474,2025
23,41.6,19.557142857142857,85.98214285714286,2.657142857142857,7.6,17.01845238095238,74.76785714285714,2.2327380952380955,0.0,21.682738095238093,74.55357142857143,2.6095238095238096,0.0,20.699404761904763,73.9047619047619,3.786309523809524,20.200000000000003,22.505357142857143,75.16071428571429,3.0398809523809525,2025
24,11.4,16.317261904761907,79.73809523809524,3.3172619047619043,41.6,19.557142857142857,85.98214285714286,2.657142857142857,7.6,17.01845238095238,74.76785714285714,2.2327380952380955,0.0,21.682738095238093,74.55357142857143,2.6095238095238096,0.0,20.699404761904763,73.9047619047619,3.786309523809524,2025
